Datum/Uhrzeit,Zeitstempel,HUP,ZUP,BUP,ZW2,MA1,MZ1,ZIP,VD1,VD2,VENT,AV,VBS,ZW1,HD,ND,MOT,ASD,EVU,TFB1 [°C],TBW [°C],TA [°C],TRLext [°C],TRL [°C],TVL [°C],THG [°C],TWQaus [°C],TWQein [°C],TRLsoll [°C],TMK1soll [°C],AI1DIV,SUP,FUP2,MA2,MZ2,MA3,MZ3,FUP3,ZW3,SLP,AO1 [V],AO2 [V],SWT,AI1 [V],DF [l/min],SpHz [K],SpWQ [K],Qh [kW],BS VD1 [h],BS WP [h],BS Hz [h],BS BW [h],BS Kü [h],Imp VD1 [],WMZ [kWh],WMZ Hz [kWh],WMZ BW [kWh],TA mittel [°C],TSS [°C],TSK [°C],TFB2 [°C],TFB3 [°C],TEE [°C],TMK2soll [°C],TMK3soll [°C],WM [kWh],Pe1 [W],Pe2 [W],AZ1 [],AZ2 [],E1 [kWh],E2 [kWh],UEHZ [K],UEHZsoll [K],Asg.VDi [°C],Asg.VDa [°C],VDHz [°C],PWM VBS [%],SpWQsoll [K],PWM HUP [%],SpHzSoll [K],FreqVD [Hz]
2018-09-12 08:25,1536733519,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,25.6,53,13.6,25.4,53,56.5,92.6,3.1,15.6,26.8,35.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-09-11 11:04,1536656660,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,24.9,53,20.5,24.9,52.9,56.6,90.8,4.7,21.3,23,30.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,16.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-09-12 10:37,1536741439,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,26.5,52.9,18.5,26,52.9,56.5,94.4,4.5,20.1,24.2,32.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,15.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-09-11 07:50,1536645020,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,25,53,13.6,24.9,52.7,56.1,98.9,2.3,15,26.8,35.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-09-11 21:39,1536694760,1,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,24.2,52.9,16.6,24,52.7,56.1,94.4,3.8,15.9,25.3,33.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-09-12 08:24,1536733459,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,25.6,52.6,13.5,25.4,52.7,56.1,93.2,2.7,15.6,26.9,35.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,12.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-09-10 20:37,1536604641,1,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,24.4,52.9,17.6,24.2,52.6,56.3,91.6,3.7,16.8,24.7,32.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-09-11 11:03,1536656600,1,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,24.9,52.6,20.5,24.9,52.6,56.1,90.8,4.6,21.5,23,30.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,16.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-09-10 20:36,1536604581,1,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,24.4,52.6,17.5,24.2,52.4,56,91.4,3.6,16.6,24.8,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-09-11 07:49,1536644960,1,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,25,52.7,13.5,24.9,52.4,55.5,97.4,2,14.8,26.9,35.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
